vid,wer,survival,chars
d19_footer_C3_clean,0.2683,1.0,1004
d19_margin_C4_clean,0.2764,0.374,1008
d19_watermark_C5_clean,0.1951,0.5,948
d19_whiteonwhite_C6_clean,0.2114,0.407,948
d19_microfont_C1_clean,0.2358,0.556,988
d20_body_C3_clean,0.1895,1.0,770
d20_footer_C4_clean,0.2316,1.0,771
d20_margin_C5_clean,0.1684,0.5,738
d20_watermark_C6_clean,0.1263,0.441,714
d20_whiteonwhite_C1_clean,0.1053,0.378,715
d20_microfont_C2_clean,0.2211,0.771,778
d21_body_C4_clean,0.2256,1.0,1030
d21_footer_C5_clean,0.1805,1.0,997
d21_margin_C6_clean,0.1729,0.441,1003
d21_watermark_C1_clean,0.1504,0.444,973
d21_whiteonwhite_C2_clean,0.1504,0.457,974
d21_microfont_C3_clean,0.188,0.495,1010
d22_body_C5_clean,0.1692,1.0,1421
d22_footer_C6_clean,0.1744,1.0,1427
d22_margin_C1_clean,0.1641,0.422,1448
d22_watermark_C2_clean,0.1487,0.386,1397
d22_whiteonwhite_C3_clean,0.1487,0.476,1398
d22_microfont_C4_clean,0.1692,0.523,1439
d23_body_C6_clean,0.2314,1.0,960
d23_footer_C1_clean,0.2645,1.0,979
d23_margin_C2_clean,0.2893,0.5,1004
d23_watermark_C3_clean,0.1983,0.419,930
d23_whiteonwhite_C4_clean,0.1983,0.411,930
d23_microfont_C5_clean,0.2066,0.5,946
d24_body_C1_clean,0.2088,1.0,724
d24_footer_C2_clean,0.2637,1.0,752
d24_margin_C3_clean,0.2527,0.419,729
d24_watermark_C4_clean,0.1538,0.411,675
d24_whiteonwhite_C5_clean,0.1538,0.5,675
d24_microfont_C6_clean,0.1648,0.407,697
d25_body_C2_clean,0.2276,1.0,1046
d25_footer_C3_clean,0.2195,1.0,1025
d25_margin_C4_clean,0.2276,0.449,1025
d25_watermark_C5_clean,0.1463,0.5,969
d25_whiteonwhite_C6_clean,0.1463,0.475,970
d25_microfont_C1_clean,0.1707,0.467,1007
d26_body_C3_clean,0.1902,1.0,1423
d26_footer_C4_clean,0.212,1.0,1424
d26_margin_C5_clean,0.1793,0.5,1392
d26_watermark_C6_clean,0.1576,0.475,1367
