vid,wer,survival,chars
d52_body_C5_noise,0.3402,0.875,771
d52_body_C5_rotate,0.3299,1.0,742
d52_body_C5_lowdpi,0.2268,1.0,715
d52_footer_C6_noise,0.433,0.897,801
d52_footer_C6_rotate,0.3299,1.0,749
d52_footer_C6_lowdpi,0.2371,1.0,721
d52_whiteonwhite_C3_noise,0.4227,0.4,779
d52_whiteonwhite_C3_rotate,0.2887,0.4,718
d52_whiteonwhite_C3_lowdpi,0.1856,0.381,691
d57_body_C4_noise,0.3525,0.86,1004
d57_body_C4_rotate,0.2049,1.0,976
d57_body_C4_lowdpi,0.2049,1.0,975
d57_footer_C5_noise,0.2787,0.933,951
d57_footer_C5_rotate,0.1639,1.0,943
d57_footer_C5_lowdpi,0.1639,1.0,942
d57_whiteonwhite_C2_noise,0.3197,0.471,937
d57_whiteonwhite_C2_rotate,0.1475,0.471,920
d57_whiteonwhite_C2_lowdpi,0.1475,0.471,918
d00_none_none_clean,0.134,,750
d01_none_none_clean,0.1811,,969
d02_none_none_clean,0.1495,,1399
d03_none_none_clean,0.2114,,958
d04_none_none_clean,0.1386,,725
d05_none_none_clean,0.1613,,956
d06_none_none_clean,0.1543,,1390
d07_none_none_clean,0.2295,,939
d08_none_none_clean,0.1075,,689
d09_none_none_clean,0.125,,945
d10_none_none_clean,0.1484,,1357
d11_none_none_clean,0.189,,989
d12_none_none_clean,0.1359,,791
d13_none_none_clean,0.129,,911
d14_none_none_clean,0.1576,,1349
d15_none_none_clean,0.2017,,964
d16_none_none_clean,0.14,,738
d17_none_none_clean,0.1374,,911
d18_none_none_clean,0.1451,,1402
d19_none_none_clean,0.1951,,948
d20_none_none_clean,0.1263,,714
d21_none_none_clean,0.1504,,973
d22_none_none_clean,0.1487,,1397
d23_none_none_clean,0.1983,,930
d24_none_none_clean,0.1538,,675
d25_none_none_clean,0.1463,,969
d26_none_none_clean,0.1576,,1367
d27_none_none_clean,0.2087,,943
d28_none_none_clean,0.1505,,677
d29_none_none_clean,0.1333,,929
d30_none_none_clean,0.1585,,1385
d31_none_none_clean,0.1951,,913
d32_none_none_clean,0.102,,715
d33_none_none_clean,0.127,,961
d34_none_none_clean,0.1543,,1360
d35_none_none_clean,0.2149,,922
d36_none_none_clean,0.1154,,764
d37_none_none_clean,0.1439,,999
d38_none_none_clean,0.1551,,1358
d39_none_none_clean,0.1983,,952
d40_none_none_clean,0.1538,,679
d41_none_none_clean,0.1393,,943
d42_none_none_clean,0.1497,,1361
d43_none_none_clean,0.2097,,940
d44_none_none_clean,0.1538,,695
d45_none_none_clean,0.1484,,972
d46_none_none_clean,0.1472,,1403
d47_none_none_clean,0.2066,,970
d48_none_none_clean,0.1458,,718
d49_none_none_clean,0.1417,,953
d50_none_none_clean,0.1518,,1352
d51_none_none_clean,0.2017,,932
d52_none_none_clean,0.1031,,715
d53_none_none_clean,0.1278,,959
d54_none_none_clean,0.1551,,1325
d55_none_none_clean,0.1864,,919
d56_none_none_clean,0.1443,,751
d57_none_none_clean,0.1311,,918
d58_none_none_clean,0.1405,,1371
d59_none_none_clean,0.2,,934
d00_none_none_noise,0.3402,,776
d00_none_none_rotate,0.134,,749
d00_none_none_lowdpi,0.3608,,702
d05_none_none_noise,0.2661,,975
d05_none_none_rotate,0.1613,,956
d05_none_none_lowdpi,0.1452,,955
d10_none_none_noise,0.3242,,1374
d10_none_none_rotate,0.1813,,1355
d10_none_none_lowdpi,0.1484,,1357
d15_none_none_noise,0.3193,,976
d15_none_none_rotate,0.2269,,963
d15_none_none_lowdpi,0.2353,,966
d20_none_none_noise,0.4316,,737
d20_none_none_rotate,0.2632,,719
d20_none_none_lowdpi,0.2947,,658
d25_none_none_noise,0.3333,,974
d25_none_none_rotate,0.1301,,968
d25_none_none_lowdpi,0.1463,,969
d30_none_none_noise,0.3388,,1410
d30_none_none_rotate,0.1585,,1387
d30_none_none_lowdpi,0.1421,,1385
d35_none_none_noise,0.3802,,938
d35_none_none_rotate,0.2479,,920
d35_none_none_lowdpi,0.1818,,922
d40_none_none_noise,0.3407,,697
d40_none_none_rotate,0.2857,,686
d40_none_none_lowdpi,0.1868,,694
d45_none_none_noise,0.3438,,984
d45_none_none_rotate,0.1797,,969
d45_none_none_lowdpi,0.1484,,970
d50_none_none_noise,0.3717,,1366
d50_none_none_rotate,0.1571,,1352
d50_none_none_lowdpi,0.1361,,1353
d55_none_none_noise,0.3729,,952
d55_none_none_rotate,0.2203,,917
d55_none_none_lowdpi,0.2373,,922
d02_none_none_noise,0.2938,,1409
d02_none_none_rotate,0.1546,,1399
d02_none_none_lowdpi,0.134,,1399
d07_none_none_noise,0.3852,,954
d07_none_none_rotate,0.2295,,938
d07_none_none_lowdpi,0.2377,,938
d12_none_none_noise,0.5243,,879
d12_none_none_rotate,0.1748,,789
d12_none_none_lowdpi,0.3495,,755
d17_none_none_noise,0.229,,933
d17_none_none_rotate,0.1679,,910
d17_none_none_lowdpi,0.1221,,909
d22_none_none_noise,0.3385,,1415
d22_none_none_rotate,0.1744,,1396
d22_none_none_lowdpi,0.1385,,1398
d27_none_none_noise,0.3478,,951
d27_none_none_rotate,0.2087,,943
d27_none_none_lowdpi,0.2,,942
d32_none_none_noise,0.5306,,804
d32_none_none_rotate,0.2041,,711
d32_none_none_lowdpi,0.3163,,657
d37_none_none_noise,0.2727,,1007
d37_none_none_rotate,0.1515,,997
d37_none_none_lowdpi,0.1288,,998
d42_none_none_noise,0.262,,1369
d42_none_none_rotate,0.1818,,1357
d42_none_none_lowdpi,0.139,,1360
d47_none_none_noise,0.3554,,990
d47_none_none_rotate,0.2397,,969
d47_none_none_lowdpi,0.1983,,971
d52_none_none_noise,0.4433,,770
d52_none_none_rotate,0.299,,718
d52_none_none_lowdpi,0.1856,,691
d57_none_none_noise,0.2377,,932
d57_none_none_rotate,0.1311,,919
d57_none_none_lowdpi,0.1311,,918
